,,,,,,,,,
No,Rent,Feet,Years,Dist,Office,Power,Clear,Park,Lot
1,7150,11000,0,12,1000,200,20,15,1.52
2,7775.68,16544,0,12,2156,400,20,33,1.5
3,7201.92,15004,0,12,2178,400,20,30,1.5
4,12582,27960,1,16,5824,800,18,56,1.43
5,5865.75,10665,1,13,1000,400,18,27,1.5
6,6987,13700,1,7,1370,600,24,28,1.63
7,11465.65,13489,1,8,4990,1200,16,101,4.15
8,17122.14,27178,2,20,7200,600,22,75,4.45
9,6345.5,12950,2,12,1352,400,22,26,1.5
10,15796,31592,4,15,15889,600,18,62,1.78
11,3075,7500,6,10,1800,600,15,15,2
12,9718.42,26266,6,5,2066,400,16,47,1.82
13,8266.14,21753,7,5,1861,400,16,50,2.36
14,5390,9800,7,8,2500,400,16,20,1.5
15,11347.2,25216,8,16,8556,800,14,43,1.59
16,6000,15000,8,9,2250,200,22,15,4
17,13329.9,29622,8,17,2260,600,14,59,1.87
18,5830,11000,8,20,5500,400,16,25,1.5
19,16200,45000,9,13,1500,400,24,45,1.5
20,11575.68,24116,10,17,9650,800,18,50,1.8
21,5970.68,9788,10,20,3300,400,13,20,1.66
22,4769.7,6115,10,8,3000,200,13,11,1.5
23,14850,27000,10,14,6678,1200,18,54,1.83
24,14352.86,30538,11,15,6348,1600,12,58,1.74
25,9240,14000,11,4,8000,400,16,23,1.64
26,10760.55,15595,11,4,4500,400,18,40,1.5
27,10152,21600,11,19,6928,800,18,43,2.04
28,17600,32000,12,6,8600,800,24,46,1.7
29,27000,50000,12,11,15000,1200,16,105,2.12
30,6875,12500,12,14,140,400,14,30,1.5
31,5351.78,10922,13,15,5600,400,16,21,1.5
32,21528.14,56653,14,10,8335,800,20,72,1.41
33,6329.25,14065,14,19,4938,400,14,28,2.17
34,5686.9,10730,14,2,3000,200,16,11,1.77
35,32285,64570,14,7,3140,600,20,44,1.5
36,4536,7200,15,3,3200,600,16,50,5.98
37,5508,10800,16,11,2371,800,14,22,2.01
38,3016,5200,17,3,1000,400,15,10,1.62
39,9030,18060,18,5,2100,400,17,70,2.25
40,6720,12000,18,4,3000,800,14,24,1.51
41,11040,24000,18,20,2000,600,16,46,1.81
42,20092.8,30912,20,3,11776,1600,19,74,1.5
43,4090,10225,20,11,600,200,14,21,1.5
44,4123.56,9818,21,20,300,250,14,20,2
45,12166,22120,22,10,6700,1000,11,68,2.23
46,7200,20000,22,9,2000,1200,11,60,1.5
47,6316.8,13440,23,20,2885,1600,14.5,17,1.79
48,8233.68,14703,24,3,5500,1800,16,46,2.31
49,5300,10000,30,9,800,200,14,30,3.19
50,5160,10320,31,4,1000,400,14,22,1.84
51,16008,27600,33,3,7600,2000,16,52,4.5
52,3729.6,10360,33,20,730,200,12,0,0.8